antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'shrimp'}),frozenset({'spaghetti'}),0.07145713904812692,0.17411011865084655,0.021197173710171976,0.2966417910447761,1.7037596283513519,0.008755762752052558,1.174209486480494
frozenset({'spaghetti'}),frozenset({'frozen vegetables'}),0.17411011865084655,0.09532062391681109,0.027862951606452472,0.16003062787136293,1.678866768759571,0.011266666466423773,1.0770385279531858
frozenset({'frozen vegetables'}),frozenset({'spaghetti'}),0.09532062391681109,0.17411011865084655,0.027862951606452472,0.29230769230769227,1.678866768759571,0.011266666466423773,1.1670183106020646
frozenset({'cooking oil'}),frozenset({'mineral water'}),0.0510598586855086,0.23836821757099053,0.020130649246767097,0.3942558746736292,1.6539783646123563,0.007959601742475753,1.2573490201306492
frozenset({'mineral water'}),frozenset({'cooking oil'}),0.23836821757099053,0.0510598586855086,0.020130649246767097,0.08445190156599552,1.653978364612356,0.007959601742475753,1.0364721885585282
frozenset({'mineral water'}),frozenset({'chicken'}),0.23836821757099053,0.05999200106652446,0.022796960405279298,0.09563758389261746,1.5941722595078303,0.0084967740425349,1.0394151528095574
frozenset({'chicken'}),frozenset({'mineral water'}),0.05999200106652446,0.23836821757099053,0.022796960405279298,0.38000000000000006,1.5941722595078303,0.0084967740425349,1.2284383587564671
frozenset({'mineral water'}),frozenset({'frozen vegetables'}),0.23836821757099053,0.09532062391681109,0.03572856952406346,0.1498881431767338,1.57246288387228,0.013007162303258473,1.0641886344978566
frozenset({'frozen vegetables'}),frozenset({'mineral water'}),0.09532062391681109,0.23836821757099053,0.03572856952406346,0.37482517482517486,1.57246288387228,0.013007162303258473,1.2182700770396908
frozenset({'spaghetti'}),frozenset({'milk'}),0.17411011865084655,0.12958272230369283,0.03546193840821224,0.20367534456355285,1.57177855922964,0.012900275252816583,1.0930432352609396
frozenset({'milk'}),frozenset({'spaghetti'}),0.12958272230369283,0.17411011865084655,0.03546193840821224,0.27366255144032925,1.5717785592296398,0.012900275252816583,1.1370608564750384
frozenset({'mineral water'}),frozenset({'milk'}),0.23836821757099053,0.12958272230369283,0.04799360085321957,0.20134228187919462,1.5537741320739085,0.01710519830969167,1.0898502048466365
frozenset({'milk'}),frozenset({'mineral water'}),0.12958272230369283,0.23836821757099053,0.04799360085321957,0.3703703703703704,1.5537741320739085,0.01710519830969167,1.209650477975486
frozenset({'pancakes'}),frozenset({'spaghetti'}),0.09505399280095987,0.17411011865084655,0.025196640447940274,0.2650771388499299,1.522468314328732,0.008646778483128437,1.1237776438968443
frozenset({'spaghetti'}),frozenset({'pancakes'}),0.17411011865084655,0.09505399280095987,0.025196640447940274,0.1447166921898928,1.522468314328732,0.008646778483128437,1.0580657881843747
frozenset({'milk'}),frozenset({'chocolate'}),0.12958272230369283,0.1638448206905746,0.03212904946007199,0.2479423868312757,1.5132757067708698,0.010897591559626912,1.111823302720604
frozenset({'chocolate'}),frozenset({'milk'}),0.1638448206905746,0.12958272230369283,0.03212904946007199,0.19609438567941412,1.5132757067708698,0.010897591559626912,1.0827356622355886
frozenset({'mineral water'}),frozenset({'tomatoes'}),0.23836821757099053,0.06839088121583789,0.024396747100386616,0.10234899328859061,1.4965298219448697,0.008094534646858002,1.0378299715801134
frozenset({'tomatoes'}),frozenset({'mineral water'}),0.06839088121583789,0.23836821757099053,0.024396747100386616,0.3567251461988304,1.4965298219448695,0.008094534646858002,1.1839912254123692
frozenset({'pancakes'}),frozenset({'mineral water'}),0.09505399280095987,0.23836821757099053,0.03372883615517931,0.3548387096774194,1.4886158620191963,0.011070985318208743,1.1805292627649648
frozenset({'mineral water'}),frozenset({'pancakes'}),0.23836821757099053,0.09505399280095987,0.03372883615517931,0.14149888143176736,1.4886158620191963,0.011070985318208743,1.0540999745093707
frozenset({'burgers'}),frozenset({'french fries'}),0.0871883748833489,0.1709105452606319,0.021997067057725635,0.25229357798165136,1.4761732671141707,0.007095654366024093,1.1088435652342468
frozenset({'french fries'}),frozenset({'burgers'}),0.1709105452606319,0.0871883748833489,0.021997067057725635,0.12870514820592824,1.4761732671141707,0.007095654366024093,1.0476495106531305
frozenset({'chocolate'}),frozenset({'frozen vegetables'}),0.1638448206905746,0.09532062391681109,0.022930275963204905,0.13995117982099267,1.468215104667505,0.007312485429441294,1.0518930493909548
frozenset({'frozen vegetables'}),frozenset({'chocolate'}),0.09532062391681109,0.1638448206905746,0.022930275963204905,0.24055944055944053,1.4682151046675047,0.007312485429441294,1.1010146467886541
frozenset({'whole wheat rice'}),frozenset({'mineral water'}),0.058525529929342755,0.23836821757099053,0.020130649246767097,0.3439635535307517,1.4429925140012128,0.006180022995112005,1.1609595572442193
frozenset({'mineral water'}),frozenset({'whole wheat rice'}),0.23836821757099053,0.058525529929342755,0.020130649246767097,0.08445190156599552,1.4429925140012128,0.006180022995112005,1.0283178695701496
frozenset({'spaghetti'}),frozenset({'mineral water'}),0.17411011865084655,0.23836821757099053,0.05972536995067324,0.3430321592649311,1.4390851379453289,0.01822305130679728,1.1593136455154853
frozenset({'mineral water'}),frozenset({'spaghetti'}),0.23836821757099053,0.17411011865084655,0.05972536995067324,0.2505592841163311,1.4390851379453289,0.01822305130679728,1.1020082894420047
frozenset({'ground beef'}),frozenset({'chocolate'}),0.09825356619117451,0.1638448206905746,0.023063591521130515,0.23473541383989144,1.4326691124597442,0.0069652535863280254,1.0926354027500824
frozenset({'chocolate'}),frozenset({'ground beef'}),0.1638448206905746,0.09825356619117451,0.023063591521130515,0.1407648494711147,1.4326691124597442,0.0069652535863280254,1.049475726468794
frozenset({'cake'}),frozenset({'mineral water'}),0.08105585921877083,0.23836821757099053,0.027463004932675644,0.33881578947368424,1.4213966649005065,0.0081418642470121,1.1519207057632783
frozenset({'mineral water'}),frozenset({'cake'}),0.23836821757099053,0.08105585921877083,0.027463004932675644,0.11521252796420582,1.4213966649005063,0.0081418642470121,1.0386043765593158
frozenset({'spaghetti'}),frozenset({'burgers'}),0.17411011865084655,0.0871883748833489,0.021463804826023197,0.12327718223583461,1.4139176513012162,0.006283426530108832,1.0411633034081629
frozenset({'burgers'}),frozenset({'spaghetti'}),0.0871883748833489,0.17411011865084655,0.021463804826023197,0.24617737003058102,1.4139176513012162,0.006283426530108832,1.0956023983820413
frozenset({'mineral water'}),frozenset({'shrimp'}),0.23836821757099053,0.07145713904812692,0.023596853752832957,0.09899328859060404,1.385351973354703,0.006563742885208515,1.0305615365499374
frozenset({'shrimp'}),frozenset({'mineral water'}),0.07145713904812692,0.23836821757099053,0.023596853752832957,0.3302238805970149,1.385351973354703,0.006563742885208515,1.1371438311474906
frozenset({'spaghetti'}),frozenset({'chocolate'}),0.17411011865084655,0.1638448206905746,0.03919477403012932,0.22511485451761104,1.3739516059695691,0.010667732859366695,1.0790698262629541
frozenset({'chocolate'}),frozenset({'spaghetti'}),0.1638448206905746,0.17411011865084655,0.03919477403012932,0.23921887713588283,1.3739516059695691,0.010667732859366695,1.085581459014021
frozenset({'chocolate'}),frozenset({'mineral water'}),0.1638448206905746,0.23836821757099053,0.05265964538061592,0.3213995117982099,1.3483320682317521,0.013604247514365099,1.1223566673923893
frozenset({'mineral water'}),frozenset({'chocolate'}),0.23836821757099053,0.1638448206905746,0.05265964538061592,0.220917225950783,1.348332068231752,0.013604247514365099,1.0732558941889825
frozenset({'frozen smoothie'}),frozenset({'mineral water'}),0.06332489001466471,0.23836821757099053,0.020263964804692707,0.32,1.342460850111857,0.0051693236440180645,1.1200467388661905
